Jefferson, Missouri,242688.0,380
Lewis, Kentucky,97410.0,2
Vinton, Ohio,133536.0,13
Lewis, Missouri,154185.0,1
Jack, Texas,195868.0,6
Gloucester, Virginia,333335.0,29
Whatcom, Washington,641064.0,150
Isanti, Minnesota,332852.0,17
Oneida, Wisconsin,264731.0,41
Franklin, Georgia,238814.0,12
Wyoming, West Virginia,40997.0,50
Crawford, Wisconsin,178173.0,15
Knox, Maine,375634.0,16
Lauderdale, Tennessee,115085.0,61
Dane, Wisconsin,389051.0,65
Mccook, South Dakota,241432.0,3
Ottawa, Michigan,342001.0,533
Dunklin, Missouri,94046.0,12
Montgomery, Kentucky,178748.0,14
Lee, Kentucky,105085.0,0
Rio Blanco, Colorado,327996.0,0
Salem, New Jersey,240028.0,1
Dodge, Minnesota,312155.0,6
Refugio, Texas,137399.0,5
Tift, Georgia,196608.0,72
Park, Wyoming,407710.0,26
Marengo, Alabama,128032.0,52
Benzie, Michigan,305623.0,20
Onondaga, New York,213516.0,210
Kankakee, Illinois,192511.0,49
Pierce, Wisconsin,305840.0,11
Socorro, New Mexico,170393.0,24
Bulloch, Georgia,218871.0,33
Allen, Kansas,95547.0,12
Early, Georgia,120515.0,31
Blaine, Oklahoma,83482.0,8
Mclean, Illinois,220524.0,24
Adams, Illinois,160988.0,37
Hamblen, Tennessee,232355.0,111
Montrose, Colorado,426511.0,8
Randolph, West Virginia,119914.0,75
Sumner, Kansas,122136.0,33
Russell, Kentucky,138255.0,3
Morgan, Ohio,144755.0,29
Comanche, Texas,201176.0,2
Montgomery, Missouri,154819.0,1
Daviess, Missouri,196771.0,6
Union, New Jersey,516168.0,0
Shenandoah, Virginia,296021.0,32
Prince Edward, Virginia,231755.0,26
Burleson, Texas,237436.0,22
Faribault, Minnesota,143794.0,8
Kearny, Kansas,198371.0,7
Sequatchie, Tennessee,215622.0,24
Traill, North Dakota,156263.0,5
Woodson, Kansas,96004.0,4
Martin, Florida,494932.0,323
Lenawee, Michigan,227947.0,45
Lewis, West Virginia,108961.0,4
Emmet, Iowa,107043.0,10
Anne Arundel, Maryland,461028.0,2
Graham, Arizona,295264.0,8
King George, Virginia,428770.0,32
Meriwether, Georgia,160801.0,52
Grundy, Missouri,73764.0,0
