table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,
"Annual Estimates of the Resident Population for Counties in the United States:
 April 1, 2020 to July 1, 2021",,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),
".Mercer County, Kentucky","22,641","22,616","22,850"
".Metcalfe County, Kentucky","10,286","10,271","10,349"
".Monroe County, Kentucky","11,338","11,301","11,233"
".Montgomery County, Kentucky","28,114","28,091","28,219"
".Morgan County, Kentucky","13,726","13,719","13,820"
".Muhlenberg County, Kentucky","30,928","30,875","30,694"
".Nelson County, Kentucky","46,738","46,756","47,098"
".Nicholas County, Kentucky","7,537","7,536","7,712"
".Ohio County, Kentucky","23,772","23,726","23,688"
".Oldham County, Kentucky","67,607","67,642","68,685"
".Owen County, Kentucky","11,278","11,294","11,294"
".Owsley County, Kentucky","4,051","4,018","3,953"
".Pendleton County, Kentucky","14,644","14,640","14,607"
".Perry County, Kentucky","28,473","28,378","27,929"
".Pike County, Kentucky","58,669","58,408","57,391"
".Powell County, Kentucky","13,129","13,085","13,133"
".Pulaski County, Kentucky","65,034","65,016","65,423"
".Robertson County, Kentucky","2,193","2,184","2,257"
".Rockcastle County, Kentucky","16,037","16,053","16,115"
".Rowan County, Kentucky","24,662","24,732","24,861"
".Russell County, Kentucky","17,991","17,975","18,156"
".Scott County, Kentucky","57,155","57,477","58,252"
".Shelby County, Kentucky","48,065","48,179","48,461"
".Simpson County, Kentucky","19,594","19,620","19,718"
".Spencer County, Kentucky","19,490","19,564","19,916"
".Taylor County, Kentucky","26,023","26,020","26,235"
".Todd County, Kentucky","12,243","12,280","12,285"
".Trigg County, Kentucky","14,061","14,068","14,192"
".Trimble County, Kentucky","8,474","8,461","8,530"
".Union County, Kentucky","13,668","13,646","13,544"
".Warren County, Kentucky","134,554","134,933","137,212"
".Washington County, Kentucky","12,027","12,024","12,072"
".Wayne County, Kentucky","19,555","19,528","19,540"
".Webster County, Kentucky","13,017","12,989","12,813"
".Whitley County, Kentucky","36,712","36,687","36,939"
".Wolfe County, Kentucky","6,562","6,552","6,507"
".Woodford County, Kentucky","26,871","26,892","27,075"
".Acadia Parish, Louisiana","57,576","57,455","57,288"
".Allen Parish, Louisiana","22,750","22,697","22,687"
".Ascension Parish, Louisiana","126,500","126,984","128,369"
".Assumption Parish, Louisiana","21,039","20,968","20,689"
".Avoyelles Parish, Louisiana","39,693","39,616","39,236"
".Beauregard Parish, Louisiana","36,549","36,573","36,584"
".Bienville Parish, Louisiana","12,981","12,899","12,776"
".Bossier Parish, Louisiana","128,746","128,615","129,144"
".Caddo Parish, Louisiana","237,848","237,056","233,092"
".Calcasieu Parish, Louisiana","216,785","216,416","205,282"
".Caldwell Parish, Louisiana","9,645","9,617","9,571"
".Cameron Parish, Louisiana","5,617","5,619","5,080"
".Catahoula Parish, Louisiana","8,906","8,859","8,805"
".Claiborne Parish, Louisiana","14,170","14,109","14,038"
".Concordia Parish, Louisiana","18,687","18,589","18,376"
".De Soto Parish, Louisiana","26,812","26,854","26,919"
".East Baton Rouge Parish, Louisiana","456,781","455,884","453,301"
".East Carroll Parish, Louisiana","7,459","7,383","7,220"
".East Feliciana Parish, Louisiana","19,539","19,451","19,338"
".Evangeline Parish, Louisiana","32,350","32,307","32,215"
".Franklin Parish, Louisiana","19,774","19,721","19,668"
".Grant Parish, Louisiana","22,169","22,129","22,236"
".Iberia Parish, Louisiana","69,929","69,725","68,975"
".Iberville Parish, Louisiana","30,241","30,095","29,824"
".Jackson Parish, Louisiana","15,031","14,989","14,876"
".Jefferson Parish, Louisiana","440,781","439,845","433,688"
".Jefferson Davis Parish, Louisiana","32,250","32,166","32,345"
".Lafayette Parish, Louisiana","241,753","242,004","244,205"
".Lafourche Parish, Louisiana","97,557","97,495","97,504"
".LaSalle Parish, Louisiana","14,791","14,812","14,834"
".Lincoln Parish, Louisiana","48,396","48,259","48,152"
".Livingston Parish, Louisiana","142,282","142,726","145,830"
".Madison Parish, Louisiana","10,017","9,927","9,799"
".Morehouse Parish, Louisiana","25,629","25,430","25,025"
".Natchitoches Parish, Louisiana","37,515","37,349","37,026"
".Orleans Parish, Louisiana","383,997","383,282","376,971"
".Ouachita Parish, Louisiana","160,368","160,003","158,768"
".Plaquemines Parish, Louisiana","23,515","23,466","23,303"
".Pointe Coupee Parish, Louisiana","20,758","20,689","20,356"
".Rapides Parish, Louisiana","130,023","129,607","128,654"
".Red River Parish, Louisiana","7,620","7,619","7,564"
".Richland Parish, Louisiana","20,043","19,997","19,805"
".Sabine Parish, Louisiana","22,155","22,118","22,135"
".St. Bernard Parish, Louisiana","43,764","43,838","44,258"
".St. Charles Parish, Louisiana","52,549","52,481","52,282"
".St. Helena Parish, Louisiana","10,920","10,889","10,912"
".St. James Parish, Louisiana","20,192","20,127","19,742"
".St. John the Baptist Parish, Louisiana","42,477","42,394","42,094"
".St. Landry Parish, Louisiana","82,540","82,273","82,071"
".St. Martin Parish, Louisiana","51,767","51,604","51,540"
".St. Mary Parish, Louisiana","49,406","49,140","48,232"
".St. Tammany Parish, Louisiana","264,570","264,933","269,388"
".Tangipahoa Parish, Louisiana","133,157","133,549","135,217"
".Tensas Parish, Louisiana","4,147","4,116","4,043"
".Terrebonne Parish, Louisiana","109,580","109,319","108,708"
".Union Parish, Louisiana","21,107","21,124","21,091"
".Vermilion Parish, Louisiana","57,359","57,289","57,204"
".Vernon Parish, Louisiana","48,750","48,582","48,027"
".Washington Parish, Louisiana","45,463","45,370","45,133"
".Webster Parish, Louisiana","36,967","36,864","36,184"
".West Baton Rouge Parish, Louisiana","27,199","27,236","27,792"
".West Carroll Parish, Louisiana","9,751","9,694","9,594"
".West Feliciana Parish, Louisiana","15,310","15,256","15,494"
".Winn Parish, Louisiana","13,755","13,721","13,488"
".Androscoggin County, Maine","111,139","111,039","111,034"
".Aroostook County, Maine","67,105","66,994","66,859"
".Cumberland County, Maine","303,069","303,312","305,231"
".Franklin County, Maine","29,456","29,418","29,687"
".Hancock County, Maine","55,478","55,460","56,192"
".Kennebec County, Maine","123,642","123,754","124,486"
".Knox County, Maine","40,607","40,609","41,084"
".Lincoln County, Maine","35,237","35,192","35,828"
".Oxford County, Maine","57,777","57,849","58,629"
".Penobscot County, Maine","152,199","152,007","152,765"
".Piscataquis County, Maine","16,800","16,768","17,165"
".Sagadahoc County, Maine","36,699","36,688","37,071"
".Somerset County, Maine","50,477","50,404","50,592"
".Waldo County, Maine","39,607","39,635","39,912"
".Washington County, Maine","31,095","31,062","31,121"
".York County, Maine","211,972","212,089","214,591"
".Allegany County, Maryland","68,106","67,947","67,729"
".Anne Arundel County, Maryland","588,261","588,769","590,336"
".Baltimore County, Maryland","854,535","853,073","849,316"
".Calvert County, Maryland","92,783","92,857","93,928"
".Caroline County, Maryland","33,293","33,290","33,386"
".Carroll County, Maryland","172,891","172,890","173,873"
".Cecil County, Maryland","103,725","103,740","103,905"
".Charles County, Maryland","166,617","166,682","168,698"
".Dorchester County, Maryland","32,531","32,508","32,489"
".Frederick County, Maryland","271,717","272,737","279,835"
".Garrett County, Maryland","28,806","28,761","28,702"
".Harford County, Maryland","260,924","261,122","262,977"
".Howard County, Maryland","332,317","332,722","334,529"
".Kent County, Maryland","19,198","19,142","19,270"
".Montgomery County, Maryland","1,062,061","1,061,243","1,054,827"
".Prince George's County, Maryland","967,201","965,601","955,306"
".Queen Anne's County, Maryland","49,874","49,983","50,798"
".St. Mary's County, Maryland","113,777","113,953","114,468"
".Somerset County, Maryland","24,620","24,567","24,584"
".Talbot County, Maryland","37,526","37,456","37,626"
".Washington County, Maryland","154,705","154,586","154,937"
".Wicomico County, Maryland","103,588","103,473","103,980"
".Worcester County, Maryland","52,460","52,445","53,132"
".Baltimore city, Maryland","585,708","583,132","576,498"
".Barnstable County, Massachusetts","228,996","228,969","232,411"
".Berkshire County, Massachusetts","129,026","128,758","128,657"
".Bristol County, Massachusetts","579,200","579,172","580,164"
".Dukes County, Massachusetts","20,600","20,581","21,097"
".Essex County, Massachusetts","809,829","809,218","807,074"
".Franklin County, Massachusetts","71,029","70,988","71,015"
".Hampden County, Massachusetts","465,825","464,908","462,718"
".Hampshire County, Massachusetts","162,308","162,064","161,572"
".Middlesex County, Massachusetts","1,632,002","1,629,422","1,614,742"
".Nantucket County, Massachusetts","14,255","14,244","14,491"
".Norfolk County, Massachusetts","725,981","726,025","724,505"
".Plymouth County, Massachusetts","530,819","530,979","533,003"
".Suffolk County, Massachusetts","797,936","795,431","771,245"
".Worcester County, Massachusetts","862,111","861,461","862,029"
".Alcona County, Michigan","10,167","10,158","10,235"
".Alger County, Michigan","8,842","8,834","8,821"
".Allegan County, Michigan","120,502","120,596","120,950"
".Alpena County, Michigan","28,907","28,877","28,893"
".Antrim County, Michigan","23,431","23,421","23,813"
".Arenac County, Michigan","15,002","14,990","14,975"
".Baraga County, Michigan","8,158","8,128","8,215"
".Barry County, Michigan","62,423","62,548","62,992"
".Bay County, Michigan","103,856","103,594","102,985"
".Benzie County, Michigan","17,970","17,974","18,223"
".Berrien County, Michigan","154,316","154,095","153,101"
".Branch County, Michigan","44,862","44,810","44,985"
".Calhoun County, Michigan","134,310","134,113","133,819"
".Cass County, Michigan","51,589","51,563","51,483"
".Charlevoix County, Michigan","26,054","26,012","26,086"
".Cheboygan County, Michigan","25,579","25,599","25,752"
".Chippewa County, Michigan","36,785","36,744","36,816"
".Clare County, Michigan","30,856","30,822","31,065"
".Clinton County, Michigan","79,128","79,128","79,426"
".Crawford County, Michigan","12,988","12,965","13,204"
".Delta County, Michigan","36,903","36,842","36,826"
".Dickinson County, Michigan","25,947","25,886","25,787"
".Eaton County, Michigan","109,175","109,106","108,944"
".Emmet County, Michigan","34,112","34,090","34,225"
".Genesee County, Michigan","406,211","405,648","404,208"
".Gladwin County, Michigan","25,386","25,369","25,485"
".Gogebic County, Michigan","14,380","14,315","14,361"
".Grand Traverse County, Michigan","95,238","95,315","95,860"
".Gratiot County, Michigan","41,761","41,662","41,544"
".Hillsdale County, Michigan","45,746","45,677","45,546"
".Houghton County, Michigan","37,361","37,160","37,313"
".Huron County, Michigan","31,407","31,351","31,252"
".Ingham County, Michigan","284,900","284,520","284,034"
".Ionia County, Michigan","66,804","66,861","67,197"
".Iosco County, Michigan","25,237","25,191","25,369"
".Iron County, Michigan","11,631","11,637","11,635"
".Isabella County, Michigan","64,394","64,488","64,813"
".Jackson County, Michigan","160,366","160,200","160,050"
".Kalamazoo County, Michigan","261,670","261,629","261,108"
".Kalkaska County, Michigan","17,939","17,925","17,979"
".Kent County, Michigan","657,974","658,040","658,046"
".Keweenaw County, Michigan","2,046","2,055","2,107"
".Lake County, Michigan","12,096","12,099","12,308"
".Lapeer County, Michigan","88,619","88,528","88,513"
".Leelanau County, Michigan","22,301","22,302","22,623"
".Lenawee County, Michigan","99,423","99,214","98,956"
".Livingston County, Michigan","193,866","193,973","195,014"
".Luce County, Michigan","5,339","5,325","5,309"
".Mackinac County, Michigan","10,834","10,830","10,906"
".Macomb County, Michigan","881,217","880,349","876,792"
".Manistee County, Michigan","25,032","25,063","25,350"
".Marquette County, Michigan","66,017","65,931","66,103"
".Mason County, Michigan","29,052","29,064","29,383"
".Mecosta County, Michigan","39,714","39,781","40,031"
".Menominee County, Michigan","23,502","23,423","23,299"
".Midland County, Michigan","83,494","83,476","83,457"
".Missaukee County, Michigan","15,052","15,067","15,130"
".Monroe County, Michigan","154,809","154,796","155,274"
".Montcalm County, Michigan","66,614","66,515","67,220"
".Montmorency County, Michigan","9,153","9,155","9,297"
".Muskegon County, Michigan","175,824","175,817","176,511"
".Newaygo County, Michigan","49,978","50,042","50,296"
".Oakland County, Michigan","1,274,395","1,272,408","1,270,017"
".Oceana County, Michigan","26,659","26,688","26,815"
".Ogemaw County, Michigan","20,770","20,740","20,726"
".Ontonagon County, Michigan","5,816","5,804","5,868"
".Osceola County, Michigan","22,891","22,887","23,105"
".Oscoda County, Michigan","8,219","8,234","8,311"
".Otsego County, Michigan","25,091","25,102","25,289"
".Ottawa County, Michigan","296,200","296,787","299,157"
".Presque Isle County, Michigan","12,982","12,979","13,093"
".Roscommon County, Michigan","23,459","23,432","23,633"
".Saginaw County, Michigan","190,124","189,831","189,591"
".St. Clair County, Michigan","160,383","160,265","160,053"
".St. Joseph County, Michigan","60,939","60,902","60,758"
".Sanilac County, Michigan","40,611","40,506","40,506"
".Schoolcraft County, Michigan","8,047","8,041","8,030"
".Shiawassee County, Michigan","68,094","67,983","67,877"
".Tuscola County, Michigan","53,323","53,274","52,917"
".Van Buren County, Michigan","75,587","75,556","75,658"
".Washtenaw County, Michigan","372,258","371,656","369,390"
".Wayne County, Michigan","1,793,561","1,790,225","1,774,816"
".Wexford County, Michigan","33,673","33,676","33,901"
".Aitkin County, Minnesota","15,697","15,693","15,887"
".Anoka County, Minnesota","363,887","364,299","367,018"
".Becker County, Minnesota","35,183","35,147","35,219"
".Beltrami County, Minnesota","46,228","46,230","46,380"
".Benton County, Minnesota","41,379","41,338","41,459"
".Big Stone County, Minnesota","5,166","5,147","5,145"
".Blue Earth County, Minnesota","69,112","69,173","69,280"
".Brown County, Minnesota","25,912","25,885","25,819"
".Carlton County, Minnesota","36,207","36,156","36,409"
".Carver County, Minnesota","106,922","107,286","108,626"
".Cass County, Minnesota","30,066","30,125","30,639"
".Chippewa County, Minnesota","12,598","12,593","12,357"
".Chisago County, Minnesota","56,621","56,670","57,469"
".Clay County, Minnesota","65,318","65,351","65,574"
".Clearwater County, Minnesota","8,524","8,580","8,576"
".Cook County, Minnesota","5,600","5,592","5,617"
".Cottonwood County, Minnesota","11,517","11,489","11,569"
".Crow Wing County, Minnesota","66,123","66,236","67,270"
".Dakota County, Minnesota","439,882","440,317","442,038"
".Dodge County, Minnesota","20,867","20,861","20,935"
".Douglas County, Minnesota","39,006","39,079","39,238"
".Faribault County, Minnesota","13,921","13,888","13,909"
".Fillmore County, Minnesota","21,228","21,246","21,271"
".Freeborn County, Minnesota","30,895","30,883","30,749"
".Goodhue County, Minnesota","47,582","47,536","47,968"
".Grant County, Minnesota","6,074","6,080","6,153"
".Hennepin County, Minnesota","1,281,565","1,281,267","1,267,416"
".Houston County, Minnesota","18,843","18,818","18,778"
".Hubbard County, Minnesota","21,344","21,380","21,715"
".Isanti County, Minnesota","41,135","41,383","41,906"
".Itasca County, Minnesota","45,014","44,984","45,070"
".Jackson County, Minnesota","9,989","9,969","9,990"
".Kanabec County, Minnesota","16,032","16,040","16,159"
".Kandiyohi County, Minnesota","43,732","43,685","43,767"
".Kittson County, Minnesota","4,207","4,180","4,146"
".Koochiching County, Minnesota","12,062","12,031","11,941"
".Lac qui Parle County, Minnesota","6,719","6,701","6,684"
".Lake County, Minnesota","10,905","10,885","10,986"
".Lake of the Woods County, Minnesota","3,763","3,760","3,823"
".Le Sueur County, Minnesota","28,674","28,627","28,841"
".Lincoln County, Minnesota","5,640","5,628","5,567"
".Lyon County, Minnesota","25,269","25,174","25,231"
".McLeod County, Minnesota","36,771","36,701","36,735"
".Mahnomen County, Minnesota","5,411","5,374","5,414"
".Marshall County, Minnesota","9,040","9,035","8,988"
".Martin County, Minnesota","20,025","19,970","19,915"
".Meeker County, Minnesota","23,400","23,428","23,376"
".Mille Lacs County, Minnesota","26,459","26,410","26,867"
".Morrison County, Minnesota","34,010","33,980","33,992"
".Mower County, Minnesota","40,029","40,049","40,158"
".Murray County, Minnesota","8,179","8,168","8,144"
".Nicollet County, Minnesota","34,454","34,490","34,332"
".Nobles County, Minnesota","22,290","22,183","21,991"
".Norman County, Minnesota","6,441","6,422","6,416"
".Olmsted County, Minnesota","162,847","162,991","163,436"
".Otter Tail County, Minnesota","60,081","60,024","60,046"
".Pennington County, Minnesota","13,992","13,939","13,780"
".Pine County, Minnesota","28,876","28,854","29,302"
".Pipestone County, Minnesota","9,424","9,405","9,313"
".Polk County, Minnesota","31,192","31,051","30,757"
".Pope County, Minnesota","11,308","11,309","11,403"
".Ramsey County, Minnesota","552,352","551,480","543,257"
".Red Lake County, Minnesota","3,935","3,936","3,933"
".Redwood County, Minnesota","15,425","15,391","15,366"
".Renville County, Minnesota","14,723","14,684","14,608"
".Rice County, Minnesota","67,097","67,030","67,262"
".Rock County, Minnesota","9,704","9,705","9,680"
".Roseau County, Minnesota","15,331","15,294","15,258"
".St. Louis County, Minnesota","200,231","199,962","199,182"
".Scott County, Minnesota","150,928","151,265","153,268"
".Sherburne County, Minnesota","97,183","97,479","99,074"
".Sibley County, Minnesota","14,836","14,802","14,917"
".Stearns County, Minnesota","158,292","158,349","158,947"
".Steele County, Minnesota","37,406","37,352","37,349"
".Stevens County, Minnesota","9,671","9,646","9,700"
".Swift County, Minnesota","9,838","9,791","9,749"
".Todd County, Minnesota","25,262","25,250","25,237"
".Traverse County, Minnesota","3,360","3,346","3,286"
".Wabasha County, Minnesota","21,387","21,417","21,509"
".Wadena County, Minnesota","14,065","14,107","14,177"
".Waseca County, Minnesota","18,968","18,954","19,000"
".Washington County, Minnesota","267,568","268,191","272,256"
".Watonwan County, Minnesota","11,253","11,221","11,135"
".Wilkin County, Minnesota","6,506","6,481","6,395"
".Winona County, Minnesota","49,671","49,606","49,630"
".Wright County, Minnesota","141,337","141,759","144,845"
".Yellow Medicine County, Minnesota","9,528","9,492","9,411"
".Adams County, Mississippi","29,538","29,405","28,742"
".Alcorn County, Mississippi","34,740","34,680","34,349"
".Amite County, Mississippi","12,720","12,698","12,637"
".Attala County, Mississippi","17,889","17,828","17,742"
".Benton County, Mississippi","7,646","7,661","7,646"
".Bolivar County, Mississippi","30,985","30,849","30,308"
".Calhoun County, Mississippi","13,266","13,240","13,018"
".Carroll County, Mississippi","9,998","9,941","9,879"
".Chickasaw County, Mississippi","17,106","17,067","17,011"
".Choctaw County, Mississippi","8,246","8,202","8,106"
".Claiborne County, Mississippi","9,135","9,093","8,908"
".Clarke County, Mississippi","15,615","15,533","15,421"
".Clay County, Mississippi","18,636","18,645","18,535"
".Coahoma County, Mississippi","21,390","21,232","20,810"
".Copiah County, Mississippi","28,368","28,293","27,995"
".Covington County, Mississippi","18,340","18,313","18,279"
".DeSoto County, Mississippi","185,314","185,902","188,633"
".Forrest County, Mississippi","78,158","78,136","77,875"
".Franklin County, Mississippi","7,675","7,653","7,676"
".George County, Mississippi","24,350","24,335","24,762"
".Greene County, Mississippi","13,530","13,501","13,630"
".Grenada County, Mississippi","21,629","21,581","21,365"
".Hancock County, Mississippi","46,053","46,075","46,055"
".Harrison County, Mississippi","208,621","208,613","209,396"
".Hinds County, Mississippi","227,742","226,636","222,679"
".Holmes County, Mississippi","17,000","16,912","16,496"
".Humphreys County, Mississippi","7,785","7,715","7,551"
".Issaquena County, Mississippi","1,338","1,326","1,280"
".Itawamba County, Mississippi","23,863","23,824","23,838"
".Jackson County, Mississippi","143,252","143,291","143,987"
".Jasper County, Mississippi","16,367","16,348","16,291"
".Jefferson County, Mississippi","7,260","7,254","7,205"
".Jefferson Davis County, Mississippi","11,321","11,258","11,134"
".Jones County, Mississippi","67,246","67,142","66,744"
".Kemper County, Mississippi","8,988","8,983","8,829"
".Lafayette County, Mississippi","55,813","55,905","56,884"
".Lamar County, Mississippi","64,222","64,368","65,353"
".Lauderdale County, Mississippi","72,984","72,706","72,088"
".Lawrence County, Mississippi","12,016","11,984","11,812"
".Leake County, Mississippi","21,275","21,247","21,196"
".Lee County, Mississippi","83,343","83,228","82,883"
".Leflore County, Mississippi","28,339","28,196","27,557"
".Lincoln County, Mississippi","34,907","34,815","34,943"
".Lowndes County, Mississippi","58,879","58,726","58,150"
".Madison County, Mississippi","109,145","109,222","109,813"
".Marion County, Mississippi","24,441","24,399","24,378"
".Marshall County, Mississippi","33,752","33,754","33,725"
".Monroe County, Mississippi","34,180","34,093","33,883"
".Montgomery County, Mississippi","9,822","9,793","9,729"
".Neshoba County, Mississippi","29,087","28,992","28,993"
".Newton County, Mississippi","21,291","21,243","21,056"
".Noxubee County, Mississippi","10,285","10,231","10,123"
".Oktibbeha County, Mississippi","51,788","51,710","51,842"
".Panola County, Mississippi","33,208","33,114","32,851"
".Pearl River County, Mississippi","56,145","56,140","56,503"
".Perry County, Mississippi","11,511","11,470","11,571"
".Pike County, Mississippi","40,324","40,209","39,973"
".Pontotoc County, Mississippi","31,184","31,206","31,445"
".Prentiss County, Mississippi","25,008","24,935","24,996"
".Quitman County, Mississippi","6,176","6,153","5,935"
".Rankin County, Mississippi","157,031","157,052","158,096"
".Scott County, Mississippi","27,990","27,958","27,598"
".Sharkey County, Mississippi","3,800","3,767","3,663"
".Simpson County, Mississippi","25,949","25,893","25,750"
".Smith County, Mississippi","14,209","14,204","14,191"
".Stone County, Mississippi","18,333","18,333","18,644"
".Sunflower County, Mississippi","25,971","25,826","25,402"
".Tallahatchie County, Mississippi","12,715","12,670","12,366"
".Tate County, Mississippi","28,064","28,124","28,234"
".Tippah County, Mississippi","21,815","21,732","21,635"
".Tishomingo County, Mississippi","18,850","18,822","18,750"
".Tunica County, Mississippi","9,782","9,720","9,696"
".Union County, Mississippi","27,777","27,780","27,953"
".Walthall County, Mississippi","13,884","13,863","13,836"
".Warren County, Mississippi","44,722","44,548","43,579"
".Washington County, Mississippi","44,922","44,613","43,687"
".Wayne County, Mississippi","19,779","19,778","19,709"
".Webster County, Mississippi","9,926","9,921","9,983"
".Wilkinson County, Mississippi","8,587","8,525","8,315"
".Winston County, Mississippi","17,714","17,673","17,596"
".Yalobusha County, Mississippi","12,481","12,446","12,415"
".Yazoo County, Mississippi","26,743","26,618","26,373"
".Adair County, Missouri","25,314","25,246","25,185"
".Andrew County, Missouri","18,135","18,083","18,002"
".Atchison County, Missouri","5,305","5,306","5,234"
".Audrain County, Missouri","24,962","24,925","24,982"
".Barry County, Missouri","34,534","34,539","34,712"
".Barton County, Missouri","11,637","11,613","11,658"
".Bates County, Missouri","16,042","16,044","16,105"
".Benton County, Missouri","19,394","19,409","19,908"
".Bollinger County, Missouri","10,567","10,525","10,556"
".Boone County, Missouri","183,610","183,894","185,840"
".Buchanan County, Missouri","84,793","84,615","83,853"
".Butler County, Missouri","42,130","42,007","42,101"
".Caldwell County, Missouri","8,815","8,806","8,897"
".Callaway County, Missouri","44,283","44,288","44,638"
".Camden County, Missouri","42,745","42,784","43,436"
".Cape Girardeau County, Missouri","81,710","81,788","82,113"
".Carroll County, Missouri","8,495","8,461","8,376"
".Carter County, Missouri","5,202","5,207","5,320"
".Cass County, Missouri","107,824","108,113","109,638"
".Cedar County, Missouri","14,188","14,199","14,496"
".Chariton County, Missouri","7,408","7,380","7,356"
".Christian County, Missouri","88,842","89,224","91,499"
".Clark County, Missouri","6,634","6,632","6,736"
".Clay County, Missouri","253,335","253,923","255,518"
".Clinton County, Missouri","21,184","21,204","21,287"
".Cole County, Missouri","77,279","77,198","77,205"
".Cooper County, Missouri","17,103","17,089","17,115"
".Crawford County, Missouri","23,056","23,026","22,807"
".Dade County, Missouri","7,569","7,586","7,599"
".Dallas County, Missouri","17,071","17,099","17,341"
".Daviess County, Missouri","8,430","8,427","8,399"
".DeKalb County, Missouri","11,029","11,014","11,098"
".Dent County, Missouri","14,421","14,418","14,432"
".Douglas County, Missouri","11,578","11,592","11,732"
".Dunklin County, Missouri","28,283","28,178","27,717"
".Franklin County, Missouri","104,682","104,769","105,231"
".Gasconade County, Missouri","14,794","14,745","14,791"
".Gentry County, Missouri","6,162","6,115","6,173"
".Greene County, Missouri","298,915","299,060","300,865"
".Grundy County, Missouri","9,808","9,729","9,720"
".Harrison County, Missouri","8,157","8,155","8,164"
".Henry County, Missouri","21,946","21,949","22,206"
".Hickory County, Missouri","8,279","8,303","8,607"
".Holt County, Missouri","4,223","4,186","4,226"
".Howard County, Missouri","10,151","10,144","10,168"
".Howell County, Missouri","39,750","39,750","39,975"
".Iron County, Missouri","9,537","9,515","9,408"
".Jackson County, Missouri","717,204","717,243","716,862"
".Jasper County, Missouri","122,761","122,766","123,155"
".Jefferson County, Missouri","226,739","226,929","227,771"
".Johnson County, Missouri","54,013","54,002","54,150"
".Knox County, Missouri","3,744","3,732","3,808"
".Laclede County, Missouri","36,039","36,024","36,133"
".Lafayette County, Missouri","32,984","33,001","32,817"
".Lawrence County, Missouri","38,001","37,963","38,321"
".Lewis County, Missouri","10,032","10,031","10,000"
".Lincoln County, Missouri","59,574","59,829","61,586"
".Linn County, Missouri","11,874","11,849","11,843"
".Livingston County, Missouri","14,557","14,562","14,755"
".McDonald County, Missouri","23,303","23,285","23,383"
".Macon County, Missouri","15,209","15,182","15,183"
".Madison County, Missouri","12,626","12,600","12,652"
".Maries County, Missouri","8,432","8,427","8,406"
".Marion County, Missouri","28,525","28,470","28,518"
".Mercer County, Missouri","3,538","3,515","3,488"
".Miller County, Missouri","24,722","24,733","24,909"
".Mississippi County, Missouri","12,577","12,537","12,538"
".Moniteau County, Missouri","15,473","15,464","15,484"
".Monroe County, Missouri","8,666","8,666","8,712"
".Montgomery County, Missouri","11,322","11,262","11,415"
".Morgan County, Missouri","21,006","20,997","21,379"
".New Madrid County, Missouri","16,434","16,329","16,035"
".Newton County, Missouri","58,648","58,613","59,386"
".Nodaway County, Missouri","21,241","21,218","21,160"
".Oregon County, Missouri","8,635","8,617","8,631"
".Osage County, Missouri","13,274","13,249","13,379"
".Ozark County, Missouri","8,553","8,514","8,782"
".Pemiscot County, Missouri","15,661","15,585","15,236"
".Perry County, Missouri","18,956","18,960","18,922"
".Pettis County, Missouri","42,980","42,951","43,188"
".Phelps County, Missouri","44,638","44,517","44,937"
".Pike County, Missouri","17,587","17,613","17,761"
".Platte County, Missouri","106,718","107,100","108,569"
".Polk County, Missouri","31,519","31,577","32,043"
".Pulaski County, Missouri","53,955","53,964","53,816"
".Putnam County, Missouri","4,681","4,676","4,712"
".Ralls County, Missouri","10,355","10,351","10,361"
".Randolph County, Missouri","24,716","24,636","24,760"
".Ray County, Missouri","23,158","23,100","23,008"
".Reynolds County, Missouri","6,096","6,078","6,087"
".Ripley County, Missouri","10,679","10,680","10,617"
".St. Charles County, Missouri","405,262","406,258","409,981"
".St. Clair County, Missouri","9,284","9,340","9,376"
".Ste. Genevieve County, Missouri","18,479","18,476","18,588"
".St. Francois County, Missouri","66,922","66,900","67,541"
".St. Louis County, Missouri","1,004,125","1,002,838","997,187"
".Saline County, Missouri","23,333","23,319","23,289"
".Schuyler County, Missouri","4,032","4,007","4,025"
".Scotland County, Missouri","4,716","4,698","4,693"
".Scott County, Missouri","38,059","38,009","37,840"
".Shannon County, Missouri","7,031","7,041","7,106"
".Shelby County, Missouri","6,103","6,101","5,976"
".Stoddard County, Missouri","28,672","28,652","28,479"
".Stone County, Missouri","31,076","31,175","31,548"
".Sullivan County, Missouri","5,999","5,976","5,934"
".Taney County, Missouri","56,066","56,020","56,387"
".Texas County, Missouri","24,487","24,413","24,987"
".Vernon County, Missouri","19,707","19,642","19,595"
".Warren County, Missouri","35,532","35,707","36,518"
".Washington County, Missouri","23,514","23,499","23,502"
".Wayne County, Missouri","10,974","10,913","10,914"
".Webster County, Missouri","39,085","39,168","39,735"
".Worth County, Missouri","1,973","1,962","1,983"
".Wright County, Missouri","18,188","18,180","18,610"
".St. Louis city, Missouri","301,578","300,528","293,310"
".Beaverhead County, Montana","9,371","9,372","9,524"
".Big Horn County, Montana","13,124","13,051","12,957"
".Blaine County, Montana","7,044","7,002","6,980"
".Broadwater County, Montana","6,774","6,846","7,288"
".Carbon County, Montana","10,473","10,512","10,847"
".Carter County, Montana","1,415","1,413","1,428"
".Cascade County, Montana","84,414","84,328","84,511"
".Chouteau County, Montana","5,895","5,899","5,916"
".Custer County, Montana","11,867","11,859","11,916"
